,OrganizationName,OrganizationDescription
0,360BHM,"The purpose of the 360BHM is to this series seeks to educate, enhance, and entertain the university and Gainesville communities by reflecting on the contributions that Black Americans have made. It is our goal to advocate exposure of refined enrichment inspired by the heritage and legacy of universal Black culture."
1,3D Printing Club,"The 3D Printing Club is established for the purpose of educating UF students on the world of 3D printing and how 3D printing and related skills can be used within their education, professionally, and leisurely. Additionally, projects will be set in place to address issues seen within the University of Florida, the local Gainesville area, and nationally."
2,A Private Inn,"A Private Inn is affiliated with the University of Florida, dedicated to promoting mystery and detective fiction enthusiasts. The purpose of ""A Private Inn, Mystery Club"" is to create a vibrant and welcoming community for students who share a keen interest in mystery, detective fiction, and puzzle-solving. Our primary goal is to provide a platform where members can engage in intellectual discussions, collaborative mystery-solving activities, and exploration of detective literature. As an affiliate of University of Florida, A Private Inn aims to provide an engaging and immersive experience for members interested in mystery-solving, detective literature, and related activities (i.e.,  Mystery Dinners, Escape Rooms, Movie Nights, etc.) We are dedicated to fostering an inclusive environment that serves as a safe space for incoming students to connect with others who share similar interests. Through a range of carefully curated events, we aim to create lasting friendships, nurture critical thinking skills, and offer an engaging escape from the ordinary. By offering a variety of events and meetings, ""A Private Inn"" seeks to non enrich both our members' university experience and their appreciation for the captivating world of mysteries."
3,A Reason to Give,Our goal is to help serve the homeless population in Gainesville by providing weekly lunches!
4,Academy of Managed Care Pharmacy,To support and introduce national AMCP into the University of Florida and to give students a greater opportunity to learn about an growing area of pharmacy.
5,Academy of Managed Care Pharmacy- Orlando Campus,"The purpose of the AMCP Student Chapter of the Academy of Managed Care Pharmacy, in keeping with the mission of the AMCP, is to encourage the education, development, and promotion of the principles and practices of managed care pharmacy."
6,Accent A Cappella,"Accent A Cappella (formerly known as No Southern Accent) is the University of Florida's premier all-gender a cappella group founded in 2001. We actively compete in the International Championship of Collegiate A Cappella (Quarterfinal Champions 2023, Semi-Final 3rd Place 2023, Quarterfinal Champions 2022), SoJam Festival (First Place 2022), BOSS Sings Festival (numerous awards 2018), and travel for performances and gigs all around the country! Recently, we recorded our newest studio album “Before the Dawn” (2023), alongside two previous singles, Fire and Ice (2022) and Pray (2022), which can be found on all streaming platforms!"
7,Adaa,"The purpose of Adaa is to display Indian culture through a fusion of Bollywood, contemporary, and classical dancing. Adaa is a place where those judgments fall silent. The team is focused on being the best it can and putting in the effort to grow. We don’t seek experienced dancers with advanced skills, but rather we seek diligent and dedicated hearts."
8,Admissions Outreach Ambassadors,Admissions Outreach Ambassadors is established for the purpose of serving as official student representatives for the University of Florida College of Dentistry Office of Admissions at admissions recruitment events and programming.
9,Adventist Christian Fellowship,"Adventist Christian Fellowship is established for the purpose of representing the love of Jesus Christ. As a Christian Organization, we seek to spread the Advent Message and share the love of Jesus Christ to all those willing to receive it through open campus activities, Bible discussion, and other unique forms of fellowship. We show no preference or privilege on the basis of race, gender, sexual orientation or religious background."
10,Advertising Society,"Ad Society is the advertising student organization at the University of Florida. Open to all majors, Ad Society holds general body meetings with guest speakers from the industry, takes trips to visit advertising agencies in various cities, and hosts workshops for students professional improvement."
11,advnt,"advnt is a student-led creative program preparing the creatively inclined for careers in copywriting, illustration, graphic design, art direction, production, project management, and web design.
We welcome those who see themselves as creatives and aspire to become capital ‘C’ creatives. All majors welcome."
12,AeroGator,"Aerogators is dedicated to giving students from any major or background hands on experience in the Aerospace field. Through time spent designing and building aircraft we aim to prepare our students for industry by enabling them to apply techniques learned in the classroom, and master of new skills that will be of lifelong value."
13,African Americans/Africans/African Diaspora in Electrical and Computer Engineering,"The purpose of African/African Americans/African Diaspora in Electrical and Computer Engineering (A3ECE) is to provide support for Black undergraduate and graduate students by facilitating networking opportunities, professional development, and creating a diverse and inclusive community in the ECE department. A3ECE also seeks to assist those in surrounding communities in ECE related issues."
14,African Student Union,"We, the African Student Union (ASU) have hereby founded this organization to support and unite African students and to promote awareness of African issues and culture to all students and the Gainesville community."
15,Agricultural and Biological Engineering Graduate Student Organization,"ABEGSO is established for the purpose of supporting and encouraging graduate students’ academic, social, university and community involvement and to further the education of members interested in Agricultural and Biological Engineering and its related fields at the University of Florida."
16,Agricultural and Life Sciences College Council,Provide leadership for CALS students and student organizations.
17,Agricultural Operations Management Club,"The purpose of the Agricultural Operations Management Club is to acquaint present and potential members with opportunities in Agricultural Operations Management, to acquaint industry and the general public with Agricultural Operations Management, to develop leadership potential and create a spirit of fellowship among members, to foster the development of professional attitudes, to encourage recognition of the need for continued professional and intellectual improvement, to promote the interests of students in Agricultural Operations Management as these interests relate to professional advancement and the American Society of Agricultural Engineers."
18,Agronomy Graduate Student Organization,"The Agronomy Graduate Student Association is created for the improvement of the graduate student experience in the Agronomy Department of the University of Florida by seeking to develop fellowship among them. The specific objectives and purpose of the Agronomy Graduate Student Association include, but are not limited to, organizing social activities, providing networking and professional opportunities, and serving as a liaison between the Agronomy graduate students and the University of Florida administration and student government."
19,AI in Healthcare Club,"The purpose of the AI in Healthcare Club is to foster a collaborative and innovative community of students passionate about the intersection of artificial intelligence and healthcare. Our mission is to explore, discuss, and apply AI technologies to address the unique challenges and opportunities in the healthcare industry. Through educational events, hands-on workshops, and meaningful collaborations, we aim to empower our members with the knowledge and skills needed to contribute to the advancement of healthcare through AI, ultimately working towards the betterment of patient care, disease prevention, and healthcare system optimization."
20,"Air, Space, and Ocean Law Society","The Air, Space, and Ocean Law Society is established for the purpose of developing interest in aviation
law, space law, and ocean law."
21,Alagarto Printmaking Guild,Our purpose is to help promote and spread the ideas and processes of printmaking.
22,Alexander Hamilton Society,"The primary purpose of this organization is to identify, educate, and launch students into foreign policy and national security careers with the Hamiltonian perspective of strong and principled American leadership in global affairs. These goals shall be achieved through club-sponsored activities, including, but not limited to, engaging peers in debates organized between distinguished scholars and practitioners with local faculty on foreign, defense and economic policy to bring a fresh perspective to campus. We aim to partner with other organizations on campus to host seminars and introduce University of Florida students to career opportunities, acting as their bridge into the professional world."
23,Ally-Gator (Dental Gay-Straight Alliance),"College of Dentistry's Ally-Gator is a student run organization that celebrates diversity and equality among our college and our patients.  Ally-Gator is committed to providing a supportive and cooperative environment for students, faculty, staff, and patients both within the college and beyond. The organization's main goal is to provide support and promote equality for the LGBTQ+ community and its allies."
24,ALPHA CHI OMEGA,"The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service."
25,ALPHA DELTA PI,"Established in 1851, Alpha Delta Pi is committed to sisterhood, values and ethics, high academic standards and social responsibility."
26,Alpha Epsilon Delta,"Alpha Epsilon Delta (Florida Alpha Chapter) is a respected organization and the most renowned chapter in the U.S. We are a pre-professional honor society dedicated to providing unique community service opportunities and guidance throughout the undergraduate process. AED participates in over 100 projects each year in affiliation with the Climb for Cancer Foundation,  Florida Diabetes Camp, Alachua County Health Department, Shands Hospital, Alachua County Humane Society, and St. Jude Children's Research Hospital to name a few. Members also benefit from prestigious speakers, professional shadowing, test banks, interaction with professional students and admissions officers, and assistance with the standardized test/application processes. AED members enjoy group activities including intramural sports and sponsored socials. Essentially, our organization's purpose is to make it easier for pre-health students to attain their lifelong goal: Becoming A Health Professional. We welcome all pre-health students and accept members from every race, gender, age, creed, and nationality.AED functions both as an Honor Society and service organization. This dual role is reflected in the societal structure and chapter activities. Chapters may be established in four-year degree-granting accredited colleges and universities. The national convention, held biennially, is the governing body of AED. All members are invited to attend and participate in its program. The National Officers, with the cooperation of the host chapter and Regional Director, arrange the place, date and program of the convention. One official delegate represents each active chapter at the convention. The official chapter delegates constitute the voting members at the business sessions during the convention. AED is affiliated with the American Association for the Advancement of Science and is a member of the Association of College Honor Societies. History On April 28, 1926, fifteen premedical students at the University of Alabama met with Dr. Jack Montgomery; premedical advisor and professor of organic chemistry, to formalize the organization of a new premedical honor society. Baylor University, Samford University, the University of Texas, and the University of South Carolina established chapters in 1928/29. At the first national convention at the University of Alabama on April 18, 1930, ten members representing five chapters and one petitioning group were in attendance. From these modest beginnings, Alpha Epsilon Delta (AED) has today become the world's largest Honor Society exclusively serving pre-health education, with a membership exceeding 144,000 in 186 chapters.The Florida Alpha chapter at the University of Florida was founded on May 3rd, 1930The mission of the Society is to encourage and recognize excellence in pre-health scholarship; to stimulate an appreciation of the importance of pre-health education; to promote communication between health and pre-health students and educators; to provide a forum for students with common interests; and to use its resources to benefit health organizations, charities and the community."
27,Alpha Epsilon Lambda (AEL),"The Alpha Chapter of AEL has been founded to recognize, promote, and foster outstanding leadership,
academic achievement, and service among graduate and professional students; and to encourage and
support the development of all graduate and professional student organizations at the University of
Florida."
28,ALPHA EPSILON PHI,"The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our founders.  The Alpha Tau chapter at the University of Florida lives by its motto ""Multa Corda, Una Casa"" or ""Many Hearts, One Purpose."""
29,ALPHA EPSILON PI,"Throughout our history, the fraternity setting has served as a “learning laboratory”, a testing ground for young men who later become leaders in business, education, government, religion, and science. A goal of our fraternity is to help each student to develop character, to learn responsibility, and to develop a proper set of values through living together in brotherhood. Alpha Epsilon Pi prepares young men for their role in life as responsible citizens.

Our basic purpose is to provide the opportunity for a Jewish man to be able to join a Jewish organization whose purpose is not specifically religious, but rather social and cultural in nature. Alpha Epsilon Pi is a Jewish fraternity, though non-discriminatory and open to all who are willing to espouse its purpose and values."
30,ALPHA GAMMA RHO,"The purpose of Alpha Gamma Rho: To make better men and through them a broader and better agriculture by surrounding our member with influences intending to encourage individual endeavor, resourcefulness, and aggressive effort; along lines making for the development of better mental, social, moral, and physical qualities; To promote a wider acquaintance and broader outlook on the part of agricultural men through fellowship in a national organization that stands for the best social, mental, and moral development."
31,ALPHA KAPPA ALPHA,"The purpose of Alpha Kappa Alpha Sorority is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service to all mankind."
32,Alpha Kappa Delta,"We promote excellence in the study of sociology, research of social problems, and other social and intellectual activities that will lead to improvement in the human condition."
33,alpha KAPPA DELTA PHI,"The sisterhood of alpha Kappa Delta Phi provides women with a sense of belonging that nurtures life-long friendships, develops self-empowered leaders, and strengthens communities through service, scholarship, and Asian-Awareness."
34,Alpha Kappa Psi,Alpha Kappa Psi is the oldest and largest co-ed professional business fraternity in the nation. Alpha Kappa Psi is the premier developer of principled business leaders.
35,Alpha Omega,"Loving God, Loving People"
36,Alpha Omega - Jewish Dental Society,"Section 1 – Mission Statement
To enhance the dental profession and lives of dental professionals worldwide by promoting and supporting ideals of global oral health, education, and the bonds of fraternity.

Section 2 – Vision
An international Jewish dental organization striving to enrich the lives of its members.

Section 3 – Creed
The objectives of the Fraternity are to promote the profession of dentistry; to establish, foster and develop high standards of scholarship, leadership and character; to inculcate a spirit of fellowship amongst all its members; to create and bind together a body of professional people who, by scholarly attainments, faithful service and the maintenance of ethical ideas and principles, have achieved distinction; to honor achievement in others; to strive for breadth of vision, unity in action and accomplishment of ideals; to commend all worthy deeds and if fraternal welfare demands, to call and counsel with its members; to accept, sponsor and develop the cultural and traditional achievements of our faith; to build within our Fraternity a triangle, the base of which is Judaism, the supporting sides Professionalism and Fraternalism.

Section 4 – Goals
a.	To be its members’ primary resource for professional education and oral health care knowledge.
b.	To be the advocate for tolerance in the dental community.
c.	To be recognized as the voice for the Jewish dental community.
d.	To be financially secure and stable in order to carry out its mission.
e.	To encourage excellence in dentistry.
f.	To provide benefits for alumni and student members."
37,ALPHA OMICRON PI,"At AOII, our mission is to promote lifelong friendship, inspire academic excellence, to lead by example, and to serve our campus and surrounding communities. The values on which AOII was founded help lead us in the decisions we make and the behaviors we exhibit in our daily lives. The object of our Fraternity, written by our Founders in 1897, inspires us to stand at all times for character, dignity, scholarship, and college loyalty. These values enable us to go with character and confidence into the world around us, assured in knowing that AOII is ours, offering friendships and opportunities throughout our lifetime."
38,ALPHA PHI,"Alpha Phi is a loyal sisterhood of women courageously pursuing limitless excellence. The purpose of this organization is the promotion of growth in character, of unity, of feeling, of sisterly affection, and of social communion among its members. Alpha Phi International Fraternity is more than just a Greek organization—it's a community of empowered women supporting one another for a lifetime."
39,ALPHA PHI ALPHA,"Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities. As men of Alpha Phi Alpha, we hold ourselves to high standards through manly deeds, scholarship and love for all mankind."
40,Alpha Phi Omega,"The purpose of Alpha Phi Omega shall be to assemble college students in a national service fraternity in the fellowship of principles derived from the Scout Oath and Law of the Boy Scouts of America; to develop leadership, to promote friendship, and to provide service to humanity; and to further the freedom that is our national, educational, and intellectual heritage."
41,Alpha Pi Mu,"To confer recognition upon the Industrial and Systems Engineering student who has shown exceptional academic interests and abilities in their field. To encourage wherever possible any movement which will advance the best interest of Industrial Engineering education. To further unify the student body of the Industrial and Systems Engineering Department in presenting its needs and ideals to the faculty. To create a closer student-faculty relationship by bringing together the needs and thoughts of both. To assist and cooperate with all organizations and persons working for the interest of industrial engineering. To benefit its members by the association and experience that can come from bringing together a group with similar interests, objectives, and abilities, and to promote the professional welfare of all."
42,"Alpha Psi Fraternity, Xi Chapter","The mission of Alpha Psi Fraternity, Xi Chapter is to provide a venue for social interaction between students, faculty, and staff, to promote a stronger bond between the veterinary colleges, and to participate in community outreach events."
43,ALPHA TAU OMEGA,To build well-rounded men devoted to the University and the Gainesville community.
44,Alpha Zeta,"Alpha Zeta is an honorary, professional society for students and industry professionals in the agriculture and natural resources fields. Today, Alpha Zeta has more than 115,000 alumni and more than 3,000 student members at 74 universities. We take pride in our commitment to the highest levels of scholarship, leadership, fellowship, and character. The Florida Chapter of Alpha Zeta is only available to students in the College of Agricultural and Life Sciences with a GPA in the top two-fifths of the college."
45,American Association for Aerosol Research-student chapter,"As a student chapter of AAAR in UF, the organization intends to promote interest in aerosol research by hosting professional events such as student run seminars, lab tours, etc., and social events to promote various aspects of aerosol research. Gaining up-to-date knowledge through organizational activities, the members will develop interest in pursuing higher education and career in the field of aerosol science. The organization also serves as a platform to build professional network with aerosol experts across the globe."
46,"American Association for Dental, Oral, and Craniofacial Research Student Research Group Florida Chapter",We are an organization that focuses on promoting the importance of dental research and the involvement of student research in dentistry.
47,American Association of Public Health Dentistry,"To work and ultimately function as a student chapter of its national organization at the University of Florida. AAPHD wants to promote community and civic involvement, and develop leadership skills that foster a collaborative learning environment."
48,American Association of Women Dentists,"To have an organization that is closely affiliated with both the University of Florida – College of Dentistry and the female community of organized dentistry at large, the national chapter of AAWD.  We aim to allow female students to become more involved in an organization related to dentistry. Males are welcome to serve as auxiliary members. Students are able to interact with dentists and learn more about the field of dentistry."
49,American Cancer Society on Campus,"ACSOC hopes to connect the University of Florida's student body to the values of the American Cancer Society to improve the lives of people with cancer and their families by spreading awareness about cancer prevention and treatment, providing support and resources to cancer patients and their families, and raising funds for cancer research"
50,American College of Clinical Pharmacy,"The purpose of the American College of Clinical Pharmacy is to explore and promote
careers in clinical pharmacy and provide ways to practice the essential skills needed in
clinical pharmacy careers."
51,American College of Clinical Pharmacy Jacksonville,"The purpose of the American College of Clinical Pharmacy is to explore and promote
careers in clinical pharmacy and provide ways to practice the essential skills needed in
clinical pharmacy careers."
52,American Concrete Institute,"The purpose of the American Concrete Institute shall be to further education and technical practice, scientific investigation, and research by organizing the efforts of its members for a nonprofit, public service in gathering, correlating, and disseminating information for the improvement of the design, construction, manufacture, use, and maintenance of concrete products and structures. This American Concrete Institute is accordingly organized and shall be operated exclusively for educational and scientific purposes."
